title,link,summary,source,scrape_timestamp,published
Stocks Are Mounting a Broad Rally a Day After S&P 500 Entered Correction,https://www.barrons.com/livecoverage/stock-market-today-031425/card/stocks-are-mounting-a-broad-rally-a-day-after-s-p-500-entered-correction-yGtL4hAJydFqQTWvDcsC?siteid=yhoof2&yptr=yahoo,,finance.yahoo.com,2025-03-15 11:42:09,2025-03-14T16:13:36Z
Wall Street Rips Up Credit Forecasts as Policy Woes Snowball,https://finance.yahoo.com/news/barclays-warns-credit-risk-mounting-141226016.html,,finance.yahoo.com,2025-03-15 11:42:09,2025-03-14T19:02:26Z
"‘In their last days, our parents changed their will’: They left me $250,000, but gave my sister $1 million. What should I do?",https://www.marketwatch.com/story/my-parents-left-me-250k-but-gave-my-irrational-and-neurotic-sister-1-million-would-you-sever-all-ties-a26e5c12?mod=mw_rss_topstories,“How many people maintain a relationship with their siblings after their parents died?”,feeds.marketwatch.com,2025-03-15 11:42:16,"Fri, 14 Mar 2025 23:32:00 GMT"
My husband has dementia and will need care. Will Medicaid go after my money if I use it to pay off our mortgage?,https://www.marketwatch.com/story/im-not-sure-what-to-do-my-husband-has-dementia-and-needs-care-will-medicaid-go-after-our-money-if-i-use-it-to-pay-off-our-mortgage-c50debfe?mod=mw_rss_topstories,"“We still have around $300,000 left on our mortgage.”",feeds.marketwatch.com,2025-03-15 11:42:16,"Fri, 14 Mar 2025 23:32:00 GMT"
‘He claims to be a nihilist’: I told my friend to sell his Tesla shares. He stopped speaking to me. Is that normal?,https://www.marketwatch.com/story/he-is-a-democrat-and-claims-to-be-a-nihilist-i-told-my-friend-to-sell-his-tesla-shares-he-cut-off-contact-is-that-normal-ab4f86f4?mod=mw_rss_topstories,“I’ve been trying to get him to diversify his retirement portfolio.”,feeds.marketwatch.com,2025-03-15 11:42:16,"Fri, 14 Mar 2025 23:16:00 GMT"
Jobless claims stay low in latest week,https://www.marketwatch.com/story/jobless-claims-stay-low-in-latest-week-27b4b50b?mod=mw_rss_marketpulse,,feeds.marketwatch.com,2025-03-15 11:42:22,"Thu, 13 Feb 2025 13:33:00 GMT"
Consumer credit growth soars in December,https://www.marketwatch.com/story/consumer-credit-growth-soars-in-december-d405d18e?mod=mw_rss_marketpulse,,feeds.marketwatch.com,2025-03-15 11:42:22,"Fri, 07 Feb 2025 20:26:00 GMT"
U.S. productivity slows down in fourth quarter while unit labor costs accelerate,https://www.marketwatch.com/story/u-s-productivity-slows-down-in-fourth-quarter-while-unit-labor-costs-accelerate-3c2b9092?mod=mw_rss_marketpulse,,feeds.marketwatch.com,2025-03-15 11:42:22,"Thu, 06 Feb 2025 13:34:00 GMT"
"Buy now, pay later lender Klarna files for U.S. IPO",https://www.cnbc.com/2025/03/14/buy-now-pay-later-lender-klarna-files-for-us-ipo.html,Klarna filed its paperwork with the SEC on Friday to go public on the New York Stock Exchange under ticker symbol KLAR.,www.cnbc.com,2025-03-15 11:42:35,"Fri, 14 Mar 2025 21:29:02 GMT"
"U.S. consumers are starting to crack as tariffs add to inflation, recession concerns",https://www.cnbc.com/2025/03/14/delta-walmart-warn-about-consumer-spending-amid-tariffs-inflation.html,Airline and retail executives are bracing for a slowdown in demand amid concerns tariffs will cut down consumer spending.,www.cnbc.com,2025-03-15 11:42:35,"Fri, 14 Mar 2025 19:38:17 GMT"
"'America is not Canada,' new Prime Minister Mark Carney says in rebuke to Trump",https://www.cnbc.com/2025/03/14/america-is-not-canada-pm-carney-says-in-rebuke-to-trump.html,"President Donald Trump since his second White House term began has said Canada, Greenland and the Panama Canal should become U.S. property.",www.cnbc.com,2025-03-15 11:42:35,"Fri, 14 Mar 2025 21:06:34 GMT"
"'Please unleash us,' Europe's telcos urge regulators as industry bangs drum for more mega-deals",https://www.cnbc.com/2025/03/14/europe-telcos-urge-more-mega-mergers-to-catch-up-to-us-china-on-5g.html,CEOs of several European telecoms firms are calling on regulators to make it easier for them to combine their operations with other businesses.,www.cnbc.com,2025-03-15 11:42:41,"Fri, 14 Mar 2025 06:25:14 GMT"
China's ‘Netflix' iQiyi is set to open a theme park with virtual reality based on its own shows,https://www.cnbc.com/2025/03/14/chinas-netflix-iqiyi-to-open-theme-park-with-vr-based-on-its-shows.html,Chinese videostreaming platform iQiyi plans to open its first theme park this year — the latest company to bet that local consumers will spend on experiences.,www.cnbc.com,2025-03-15 11:42:41,"Fri, 14 Mar 2025 04:41:54 GMT"
New York AG announces bill to protect consumers from scams after Trump hobbles CFPB,https://www.cnbc.com/2025/03/13/new-york-ag-announces-bill-to-protect-consumers-after-trump-hobbles-cfpb.html,"With the Consumer Financial Protection Bureau frozen, consumers will have to rely on their state AGs and regulators when they have complaints.",www.cnbc.com,2025-03-15 11:42:41,"Thu, 13 Mar 2025 18:00:01 GMT"
"U.S. consumers are starting to crack as tariffs add to inflation, recession concerns",https://www.cnbc.com/2025/03/14/delta-walmart-warn-about-consumer-spending-amid-tariffs-inflation.html,Airline and retail executives are bracing for a slowdown in demand amid concerns tariffs will cut down consumer spending.,www.cnbc.com,2025-03-15 11:42:47,"Fri, 14 Mar 2025 19:38:17 GMT"
"Ulta issues weak guidance, citing consumer uncertainty, rising competition and company missteps",https://www.cnbc.com/2025/03/13/ulta-beauty-ulta-earnings-q4-2024.html,Ulta Beauty warned that profits and revenue will be worse than Wall Street expected in the year ahead.,www.cnbc.com,2025-03-15 11:42:47,"Thu, 13 Mar 2025 21:29:34 GMT"
DC housing market shows signs of cracks amid mass federal layoffs,https://www.cnbc.com/2025/03/13/washington-dc-housing-market-shows-cracks-amid-federal-layoffs.html,The number of active listings in the D.C. metro area is sharply higher compared with last year.,www.cnbc.com,2025-03-15 11:42:47,"Thu, 13 Mar 2025 20:11:17 GMT"
Tesla investor survey shows 85% believe Elon Musk's politics are having 'negative' or 'extremely negative' impact on company,https://www.cnbc.com/2025/03/12/tesla-investor-survey-shows-85percent-believe-musks-politics-are-hurting-company.html,The poll is the latest sign of mounting frustration with the billionaire entrepreneur as he's become a rising politic figure.,www.cnbc.com,2025-03-15 11:42:54,"Wed, 12 Mar 2025 15:32:50 GMT"
Microsoft is open to using natural gas to power AI data centers to keep up with demand,https://www.cnbc.com/2025/03/11/microsoft-is-open-to-using-natural-gas-to-power-ai-data-centers-ameet-ballooning-demand.html,Microsoft Vice President of Energy Bobby Hollis said natural gas with carbon capture is an option if the projects are commercially viable.,www.cnbc.com,2025-03-15 11:42:54,"Tue, 11 Mar 2025 16:03:18 GMT"
Ron Baron says he won’t sell a single personal Tesla share amid the EV play's big decline,https://www.cnbc.com/2025/03/11/ron-baron-says-he-wont-sell-a-single-personal-tesla-share-despite-nosedive.html,Billionaire investor Ron Baron is standing by Elon Musk's Tesla amid its dramatic sell-off.,www.cnbc.com,2025-03-15 11:42:54,"Tue, 11 Mar 2025 16:08:17 GMT"
Americans sour on economy as inflation expectations hit highest level since 1991,https://finance.yahoo.com/news/americans-sour-on-economy-as-inflation-expectations-hit-highest-level-since-1991-145631578.html,,finance.yahoo.com,2025-03-15 11:58:53,2025-03-14T14:56:31Z
Americans sour on economy as inflation expectations hit highest level since 1991,https://finance.yahoo.com/news/americans-sour-on-economy-as-inflation-expectations-hit-highest-level-since-1991-145631578.html,,finance.yahoo.com,2025-03-15 11:58:59,2025-03-14T14:56:31Z
Americans sour on economy as inflation expectations hit highest level since 1991,https://finance.yahoo.com/news/americans-sour-on-economy-as-inflation-expectations-hit-highest-level-since-1991-145631578.html,,finance.yahoo.com,2025-03-15 11:59:06,2025-03-14T14:56:31Z
Americans sour on economy as inflation expectations hit highest level since 1991,https://finance.yahoo.com/news/americans-sour-on-economy-as-inflation-expectations-hit-highest-level-since-1991-145631578.html,,finance.yahoo.com,2025-03-15 11:59:12,2025-03-14T14:56:31Z
