Timestamp,Where do you currently reside? (Select one),What is your age group? (Select one),What is your current employment status? (Select one),  What is your primary source of income?  ,What is your monthly income range (in KES)? (Select one),Do you currently have access to financial advisory services? (Select one),How would you rate your financial literacy? (Linear scale: 1-5),What are your primary financial goals? (Select all that apply),What challenges do you face in achieving your financial goals? (Select all that apply),How often do you seek financial advice? (Select one),Which financial advisory services have you used before?  ,Would you consider using an AI-powered chatbot for financial advice? (Select one),Which chatbot features would be most useful to you? (Select all that apply),What would make you trust an AI-powered financial advisory chatbot? (Select all that apply),How comfortable are you with using digital platforms for financial planning? (Select one),What concerns would you have about using a financial chatbot?  ,What additional features or support would you like from a financial advisory chatbot? (Open-ended question),Any other comments or suggestions? (Open-ended question)
3/1/2025 21:36,Nairobi,41-60 years,Employed (Full-time),Family Support,Prefer not to say,No,4,"Saving for education, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),Family/Friends/Informal Groups,Yes,"Budgeting and expense tracking, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Accuracy of information,None ,Na
2/25/2025 15:17,Nairobi,18-24 years,Employed (Part-time),Salary/Wages,"100,001 and above",No,3,Investment opportunities,"Lack of financial knowledge, Limited access to financial advisors",Frequently (Weekly or Monthly),Banks/Financial Institutions,Yes,"Personalized investment advice, Real-time financial tips, Multilingual support","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,Data privacy and security,Budget planning and strategies of financial discipline ,Digital financial advice missing link in social platforms 
2/27/2025 14:19,Nairobi,41-60 years,Student,Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Ease of understanding responses,Alternative method of how I should be breaking down my monthly budget,This would be a good AI powered chatbot
2/27/2025 14:31,Vihiga,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,3,"Saving for education, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Availability of expert human support if needed",Not comfortable,Data privacy and security,Accurate and updated information,"A crucial feature for the adoption of the financial advisory chatbot would be its seamless ability to escalate complex questions or sensitive topics to a qualified human advisor.  Users need assurance that they can easily connect with a financial expert when faced with intricate financial decisions or when the chatbot cannot provide adequate information.  This feature ensures that users feel supported and valued, fostering trust and confidence in the chatbot's assistance while allowing them to access personalized advice when necessary. Without this option, users may hesitate to fully engage with the chatbot, fearing potential information gaps or inadequate responses for significant financial matters."
2/28/2025 18:14,Kakamega,18-24 years,Student,Family Support,"100,001 and above",No,3,Investment opportunities,Lack of financial knowledge,Frequently (Weekly or Monthly),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,Data privacy and security,confidentiality,Good feedback and advisory on improvement 
3/1/2025 11:17,Nairobi,25-40 years,Unemployed,Salary/Wages,"50,001-100,000",Yes,3,"Saving for education, Buying a home","Lack of financial knowledge, Limited access to financial advisors, High cost of advisory services, Lack of trust in financial advisors",Rarely (Only when needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,Accurate and reliable financial advice,Very comfortable,Accuracy of information,Integration with different operating systems,None 
2/25/2025 14:50,Nairobi,41-60 years,Employed (Full-time),Business/Entrepreneurship,"50,001-100,000",Yes,3,Investment opportunities,"Limited access to financial advisors, Lack of trust in financial advisors",Frequently (Weekly or Monthly),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",None ,This would be a good AI powered chatbot
2/25/2025 14:19,Kakamega,25-40 years,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Banks/Financial Institutions,Yes,Personalized investment advice,Accurate and reliable financial advice,Very comfortable,Ease of understanding responses,Proper investment ,Flexible compensation for advisory services services 
2/25/2025 23:02,Kuala Lumpur ,61 years and above,Employed (Full-time),Salary/Wages,"20,000-50,000",No,4,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),Banks/Financial Institutions,Yes,Budgeting and expense tracking,Availability of expert human support if needed,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Calculator ,Nada
2/27/2025 20:25,Nairobi,25-40 years,Unemployed,Salary/Wages,"Less than 20,000",No,3,Managing debt,"Limited access to financial advisors, High cost of advisory services",Rarely (Only when needed),None,No,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Accurate and reliable financial advice,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Nine,None
2/28/2025 16:17,Nairobi,41-60 years,Employed (Full-time),Business/Entrepreneurship,"100,001 and above",No,3,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,"Accuracy of information, Data privacy and security",Nine,No
3/11/2025 13:07,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,5,Saving for education,Limited access to financial advisors,Never,"Insurance Companies, Online Financial Platforms",Yes,Personalized investment advice,Easy-to-use and intuitive interface,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Integration with different operating systems,I loved the approach 
2/27/2025 14:39,Kakamega ,25-40 years,Employed (Full-time),Business/Entrepreneurship,"20,000-50,000",No,5,Retirement planning,Lack of financial knowledge,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,Data privacy and security,"Foreign investments,Risk analysis and Analysis of available financing options ",None
2/27/2025 20:08,Nairobi,25-40 years,Self-Employed,Salary/Wages,"50,001-100,000",No,5,Saving for education,"Limited access to financial advisors, High cost of advisory services",Never,Investment Firms,No,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,Data privacy and security,Na, Easy to access
3/2/2025 18:31,Kiambu,61 years and above,Self-Employed,Family Support,"20,000-50,000",No,3,"Retirement planning, Investment opportunities",lack of finance,Rarely (Only when needed),"Banks/Financial Institutions, Investment Firms",Yes,Real-time financial tips,"Strong data privacy and security policies, Easy-to-use and intuitive interface",Somewhat Comfortable,Ease of understanding responses,Immediate response ,This is a good Idea I hope it works out 
3/1/2025 18:17,Vihiga,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",Yes,4,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Lack of trust in financial advisors,Rarely (Only when needed),"Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Data privacy and security,Data protection policy ,Nada
2/28/2025 16:30,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,4,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Investment Firms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Strong data privacy and security policies,Very comfortable,"Data privacy and security, Trust in automated financial advice",confidentiality,None
2/25/2025 18:47,Nairobi,41-60 years,Employed (Full-time),Business/Entrepreneurship,"50,001-100,000",Yes,3,Investment opportunities,"Lack of financial knowledge, High cost of advisory services",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Accuracy of information,50-30-20 rule,How to track financial investments from the descision made from the chatbot
2/28/2025 22:48,Nairobi,41-60 years,Employed (Full-time),Business/Entrepreneurship,"50,001-100,000",No,3,Investment opportunities,Limited access to financial advisors,Frequently (Weekly or Monthly),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Real-time financial tips, Multilingual support",Accurate and reliable financial advice,Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Nothing complicated just the basics.,Make it as simple as possible 
2/27/2025 14:39,Nairobi,41-60 years,Self-Employed,Salary/Wages,"50,001-100,000",No,1,Farming,"Lack of financial knowledge, High cost of advisory services",Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), None",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security",Graphical representation of concepts,Safety  of my money
3/1/2025 10:11,Bungoma ,25-40 years,Employed (Full-time),Family Support,"100,001 and above",Yes,3,"Buying a home, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),"Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-time financial tips,Availability of expert human support if needed,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Nothing complicated just the basics.,Reduce costs on AI related apps 
2/25/2025 20:29,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,5,Oii,Lack of financial knowledge,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Strong data privacy and security policies,Somewhat Comfortable,Accuracy of information,Learn how to invest and grow the money I have ,None
2/25/2025 15:07,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,4,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),Banks/Financial Institutions,Yes,"Personalized investment advice, Real-time financial tips, Multilingual support","Strong data privacy and security policies, Easy-to-use and intuitive interface",Somewhat Comfortable,Accuracy of information,confidentiality,Non as of now
2/25/2025 17:10,Nairobi,25-40 years,Employed (Full-time),Business/Entrepreneurship,"50,001-100,000",No,1,Investment opportunities,lack of finance,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Online Financial Platforms",Yes,"Personalized investment advice, Budgeting and expense tracking",Strong data privacy and security policies,Very comfortable,Trust in automated financial advice,Direct Financial support and available opportunities ,When is the AI coming up though 
3/2/2025 19:56,Mombasa,25-40 years,Student,Salary/Wages,"Less than 20,000",No,4,Investment opportunities,"Limited access to financial advisors, Lack of trust in financial advisors",Never,"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",No,"Budgeting and expense tracking, Integration with my existing financial accounts","Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",More advice on planning and risk identification ,Thanks 
2/28/2025 22:24,United Kingdom ,41-60 years,Retired,Business/Entrepreneurship,"50,001-100,000",No,4,Buying a home,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Ease of understanding responses, Trust in automated financial advice",Money lending services geared towards achieving specific goal.,None 
2/25/2025 10:18,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,3,"Saving for education, Buying a home, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,Accurate and reliable financial advice,Very comfortable,"Accuracy of information, Data privacy and security",Customization of the chats to my preferences.,Not satisfied
2/26/2025 21:18,Nairobi,25-40 years,Student,Salary/Wages,"50,001-100,000",Yes,3,Investment opportunities,"Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Integration with my existing financial accounts",Availability of expert human support if needed,Very comfortable,Ease of understanding responses,Customization of the chats to my preferences.,I loved the approach 
2/28/2025 13:06,Nakuru,18-24 years,Self-Employed,Salary/Wages,"Less than 20,000",No,4,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Easy-to-use and intuitive interface,Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Follow up on the efficiency of the advice give ,An advisory chatbot would come in handy in contemporary finance 
2/28/2025 20:20,Nairobi,25-40 years,Student,Salary/Wages,"100,001 and above",Yes,1,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized investment advice,Accurate and reliable financial advice,Somewhat Comfortable,Accuracy of information,Relevant information and knowledge ,No
2/27/2025 15:49,Kakamega ,25-40 years,Employed (Part-time),Salary/Wages,"20,000-50,000",Yes,4,Investment opportunities,"Lack of financial knowledge, Limited access to financial advisors, High cost of advisory services, Lack of trust in financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Data privacy and security,Privacy and security is what I would want guaranteed ,How to track financial investments from the descision made from the chatbot
3/2/2025 1:22,Kericho ,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,5,Retirement planning,Limited access to financial advisors,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,Personalized investment advice,Strong data privacy and security policies,Very comfortable,Ease of understanding responses,Non,You should be able to suggest real time job opportunities around me
3/5/2025 10:35,Kapsowar,25-40 years,Employed (Part-time),Salary/Wages,"Less than 20,000",Yes,5,Investment opportunities,Limited financial sources ,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking",Availability of expert human support if needed,Very comfortable,"Data privacy and security, Trust in automated financial advice",Giving of Living examples ,Not satisfied
2/28/2025 12:27,Murang'a ,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,3,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt","Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Availability of expert human support if needed",Not comfortable,"Accuracy of information, Data privacy and security",Alternative method of how I should be breaking down my monthly budget,They should give examples 
3/1/2025 20:35,Nairobi,18-24 years,Student,Salary/Wages,Prefer not to say,No,4,Investment opportunities,"Limited access to financial advisors, Lack of trust in financial advisors",Never,"Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,Budgeting and expense tracking,Accurate and reliable financial advice,Very comfortable,Data privacy and security,Accurate and updated information,None 
2/28/2025 12:41,Kisii,25-40 years,Unemployed,Family Support,"100,001 and above",No,2,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,Accuracy of information,Per issue advice ,No
2/28/2025 12:54,Nairobi,25-40 years,Employed (Full-time),Family Support,Prefer not to say,No,5,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Lack of financial knowledge,Rarely (Only when needed),Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support",Availability of expert human support if needed,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",None ,When is the AI coming up though 
2/25/2025 23:28,Nairobi,25-40 years,Unemployed,Family Support,"20,000-50,000",Yes,5,Investment opportunities,High cost of advisory services,Frequently (Weekly or Monthly),Banks/Financial Institutions,Yes,Personalized investment advice,Availability of expert human support if needed,Very comfortable,"Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Accurate and updated information,Good feedback and advisory on improvement 
2/28/2025 22:34,Malaba ,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",No,Budgeting and expense tracking,Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,Non,Non at the moment 
2/25/2025 18:44,Kisii,25-40 years,Employed (Part-time),Salary/Wages,"20,000-50,000",No,3,"Buying a home, Retirement planning, Investment opportunities",Lack of financial knowledge,Frequently (Weekly or Monthly),None,Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Data privacy and security,Giving of Living examples ,None
2/27/2025 15:09,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,5,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts, ","Strong data privacy and security policies, Accurate and reliable financial advice",Not comfortable,Accuracy of information,Support on financial issues ,Flexible compensation for advisory services services 
2/27/2025 20:20,Kakamega,25-40 years,Self-Employed,Family Support,"50,001-100,000",No,5,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Frequent recurrent expediture,Never,Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Availability of expert human support if needed,Somewhat Comfortable,Accuracy of information,Financial records,Na
2/25/2025 18:44,Nairobi,25-40 years,Employed (Part-time),Business/Entrepreneurship,"20,000-50,000",Yes,3,Investment opportunities,Cost of living,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,Data privacy and security,Financial calculation,Na
2/27/2025 14:22,VIHIGA ,25-40 years,Employed (Part-time),Salary/Wages,"Less than 20,000",No,4,"Saving for education, Investment opportunities","Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Easy-to-use and intuitive interface,Very comfortable,"Accuracy of information, Data privacy and security",Timely financial prompts when investment opportunities are available.,None
3/2/2025 18:31,Nairobi,41-60 years,Employed (Part-time),Family Support,Prefer not to say,Yes,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security",Voice feature,None
2/25/2025 10:18,Vihiga,18-24 years,Self-Employed,Salary/Wages,"20,000-50,000",No,3,"Retirement planning, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), None",Yes,"Personalized investment advice, Budgeting and expense tracking, Multilingual support, Integration with my existing financial accounts",Strong data privacy and security policies,Very comfortable,"Data privacy and security, Trust in automated financial advice",Financial support,Financial  investment 
