Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
2/28/2025 11:51,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,"Lack Of Financial Knowledge, High Cost Of Advisory Services",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Budgeting And Expense Tracking, Real-Time Financial Tips","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Accuracy Of Information,Unknown,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:12,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),Banks/Financial Institutions,Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Accuracy Of Information,Link With My Spending Data E.G Bank/Mobile Money Messages.,Non,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 20:50,Kisumu,25-40 Years,Teacher,Business/Entrepreneurship,"50,001-100,000",No,3,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",How To Create Multiple Sources Of Income,Digital Financial Advice Missing Link In Social Platforms,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:57,Kisumu,25-40 Years,Employed (Full-Time),Family Support,"20,000-50,000",Yes,2,Investment Opportunities,Limited Access To Financial Advisors,Never,Family/Friends/Informal Groups,Yes,Personalized Investment Advice,Strong Data Privacy And Security Policies,Somewhat Comfortable,Trust In Automated Financial Advice,Link With My Spending Data E.G Bank/Mobile Money Messages.,More Investment Plans,Low,20,Low,Neutral,Low Literacy - Low Income
2/27/2025 9:26,Kisumu,61 Years And Above,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),Unknown,Yes,"Personalized Investment Advice, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Very Comfortable,Trust In Automated Financial Advice,Immediate Response,Data Privacy And Ai Hallucinations Should Be Of Key Priority.,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/4/2025 11:56,Kisumu,41-60 Years,Student,Salary/Wages,"20,000-50,000",No,5,"Saving For Education, Managing Debt",Limited Funds,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Accuracy Of Information,Follow Up On The Efficiency Of The Advice Give,None,High,20,Low,Neutral,High Literacy - Low Income
3/1/2025 21:36,Nairobi,41-60 Years,Employed (Full-Time),Family Support,Prefer Not To Say,No,4,"Saving For Education, Investment Opportunities",Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),Family/Friends/Informal Groups,Yes,"Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,None,Na,High,0,,Neutral,High Literacy - nan Income
2/25/2025 15:17,Nairobi,18-24 Years,Employed (Part-Time),Salary/Wages,"100,001 And Above",No,3,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors",Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,Budget Planning And Strategies Of Financial Discipline,Digital Financial Advice Missing Link In Social Platforms,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:19,Nairobi,41-60 Years,Student,Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Ease Of Understanding Responses,Alternative Method Of How I Should Be Breaking Down My Monthly Budget,This Would Be A Good Ai Powered Chatbot,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:31,Vihiga,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,"Saving For Education, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Not Comfortable,Data Privacy And Security,Accurate And Updated Information,"A Crucial Feature For The Adoption Of The Financial Advisory Chatbot Would Be Its Seamless Ability To Escalate Complex Questions Or Sensitive Topics To A Qualified Human Advisor.  Users Need Assurance That They Can Easily Connect With A Financial Expert When Faced With Intricate Financial Decisions Or When The Chatbot Cannot Provide Adequate Information.  This Feature Ensures That Users Feel Supported And Valued, Fostering Trust And Confidence In The Chatbot'S Assistance While Allowing Them To Access Personalized Advice When Necessary. Without This Option, Users May Hesitate To Fully Engage With The Chatbot, Fearing Potential Information Gaps Or Inadequate Responses For Significant Financial Matters.",Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 18:14,Kakamega,18-24 Years,Student,Family Support,"100,001 And Above",No,3,Investment Opportunities,Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Confidentiality,Good Feedback And Advisory On Improvement,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/1/2025 11:17,Nairobi,25-40 Years,Unemployed,Salary/Wages,"50,001-100,000",Yes,3,"Saving For Education, Buying A Home","Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Very Comfortable,Accuracy Of Information,Integration With Different Operating Systems,None,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/25/2025 14:50,Nairobi,41-60 Years,Employed (Full-Time),Business/Entrepreneurship,"50,001-100,000",Yes,3,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",None,This Would Be A Good Ai Powered Chatbot,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/25/2025 14:19,Kakamega,25-40 Years,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Very Comfortable,Ease Of Understanding Responses,Proper Investment,Flexible Compensation For Advisory Services Services,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 23:02,Kuala Lumpur,61 Years And Above,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,Yes,Budgeting And Expense Tracking,Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Calculator,Nada,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:25,Nairobi,25-40 Years,Unemployed,Salary/Wages,"Less Than 20,000",No,3,Managing Debt,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),Unknown,No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Nine,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 16:17,Nairobi,41-60 Years,Employed (Full-Time),Business/Entrepreneurship,"100,001 And Above",No,3,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Nine,No,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/11/2025 13:07,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,5,Saving For Education,Limited Access To Financial Advisors,Never,"Insurance Companies, Online Financial Platforms",Yes,Personalized Investment Advice,Easy-To-Use And Intuitive Interface,Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Integration With Different Operating Systems,I Loved The Approach,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 14:39,Kakamega,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"20,000-50,000",No,5,Retirement Planning,Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,"Foreign Investments,Risk Analysis And Analysis Of Available Financing Options",Unknown,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:08,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"50,001-100,000",No,5,Saving For Education,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Never,Investment Firms,No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Na,Easy To Access,High,50,Low,Neutral,High Literacy - Low Income
3/2/2025 18:31,Kiambu,61 Years And Above,Self-Employed,Family Support,"20,000-50,000",No,3,"Retirement Planning, Investment Opportunities",Lack Of Finance,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Ease Of Understanding Responses,Immediate Response,This Is A Good Idea I Hope It Works Out,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/1/2025 18:17,Vihiga,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",Yes,4,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Data Privacy And Security,Data Protection Policy,Nada,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 16:30,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,4,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Investment Firms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Strong Data Privacy And Security Policies,Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Confidentiality,Unknown,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 18:47,Nairobi,41-60 Years,Employed (Full-Time),Business/Entrepreneurship,"50,001-100,000",Yes,3,Investment Opportunities,"Lack Of Financial Knowledge, High Cost Of Advisory Services",Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,50-30-20 Rule,How To Track Financial Investments From The Descision Made From The Chatbot,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:48,Nairobi,41-60 Years,Employed (Full-Time),Business/Entrepreneurship,"50,001-100,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Nothing Complicated Just The Basics.,Make It As Simple As Possible,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:39,Nairobi,41-60 Years,Self-Employed,Salary/Wages,"50,001-100,000",No,1,Farming,"Lack Of Financial Knowledge, High Cost Of Advisory Services",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), None",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Graphical Representation Of Concepts,Safety  Of My Money,Low,50,Low,Neutral,Low Literacy - Low Income
3/1/2025 10:11,Bungoma,25-40 Years,Employed (Full-Time),Family Support,"100,001 And Above",Yes,3,"Buying A Home, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Nothing Complicated Just The Basics.,Reduce Costs On Ai Related Apps,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/25/2025 20:29,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,5,Oii,Lack Of Financial Knowledge,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Strong Data Privacy And Security Policies,Somewhat Comfortable,Accuracy Of Information,Learn How To Invest And Grow The Money I Have,Unknown,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 15:07,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,4,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Accuracy Of Information,Confidentiality,Non As Of Now,High,100,Low,Neutral,High Literacy - Low Income
2/25/2025 17:10,Nairobi,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"50,001-100,000",No,1,Investment Opportunities,Lack Of Finance,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Online Financial Platforms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Strong Data Privacy And Security Policies,Very Comfortable,Trust In Automated Financial Advice,Direct Financial Support And Available Opportunities,When Is The Ai Coming Up Though,Low,50,Low,Neutral,Low Literacy - Low Income
3/2/2025 19:56,Mombasa,25-40 Years,Student,Salary/Wages,"Less Than 20,000",No,4,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Never,"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,"Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",More Advice On Planning And Risk Identification,Thanks,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 22:24,United Kingdom,41-60 Years,Retired,Business/Entrepreneurship,"50,001-100,000",No,4,Buying A Home,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,"Ease Of Understanding Responses, Trust In Automated Financial Advice",Money Lending Services Geared Towards Achieving Specific Goal.,None,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 10:18,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,3,"Saving For Education, Buying A Home, Investment Opportunities",Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Customization Of The Chats To My Preferences.,Not Satisfied,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/26/2025 21:18,Nairobi,25-40 Years,Student,Salary/Wages,"50,001-100,000",Yes,3,Investment Opportunities,"Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Very Comfortable,Ease Of Understanding Responses,Customization Of The Chats To My Preferences.,I Loved The Approach,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/28/2025 13:06,Nakuru,18-24 Years,Self-Employed,Salary/Wages,"Less Than 20,000",No,4,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Easy-To-Use And Intuitive Interface,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Follow Up On The Efficiency Of The Advice Give,An Advisory Chatbot Would Come In Handy In Contemporary Finance,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 20:20,Nairobi,25-40 Years,Student,Salary/Wages,"100,001 And Above",Yes,1,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Somewhat Comfortable,Accuracy Of Information,Relevant Information And Knowledge,No,Low,100,Low,Neutral,Low Literacy - Low Income
2/27/2025 15:49,Kakamega,25-40 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",Yes,4,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Privacy And Security Is What I Would Want Guaranteed,How To Track Financial Investments From The Descision Made From The Chatbot,High,20,Low,Neutral,High Literacy - Low Income
3/2/2025 1:22,Kericho,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,5,Retirement Planning,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,Personalized Investment Advice,Strong Data Privacy And Security Policies,Very Comfortable,Ease Of Understanding Responses,Non,You Should Be Able To Suggest Real Time Job Opportunities Around Me,High,50,Low,Neutral,High Literacy - Low Income
3/5/2025 10:35,Kapsowar,25-40 Years,Employed (Part-Time),Salary/Wages,"Less Than 20,000",Yes,5,Investment Opportunities,Limited Financial Sources,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Availability Of Expert Human Support If Needed,Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Giving Of Living Examples,Not Satisfied,High,20,Low,Neutral,High Literacy - Low Income
